Timestamp,How effective is your organization’s current sustainability program in managing emerging technologies? ,Which area of sustainability do you think needs the most improvement in your organization? ,How well does your organization incorporate sustainable practices in the lifecycle management of emerging technologies?,What is the biggest challenge in implementing sustainable practices in emerging technologies at your organization? ,How often does your organization review and update its sustainability practices concerning emerging technologies? ,To what extent does your organization invest in sustainable technologies? ,How satisfied are you with the training provided on sustainable practices related to emerging technologies? ,How well do you think your organization's sustainability efforts are communicated to employees? ,Which sustainable technology has had the most positive impact on your organization? ,How effective are your organization’s policies in reducing electronic waste? ,How important is sustainability in your organization’s strategy for adopting new technologies? ,What is your organization’s primary motivation for adopting sustainable practices in managing emerging technologies? 
2024/07/29 4:18:39 PM GMT+5:30,Very effective,Energy efficiency,Very well,Lack of expertise,Never,Heavily,Satisfied,Well,Energy-efficient IT infrastructure,Very effective,Very important,Cost savings
2024/07/29 4:19:38 PM GMT+5:30,Very effective,Energy efficiency,Very well,Cost,Annually,Heavily,Very satisfied,Very well,Renewable energy systems,Very effective,Very important,Cost savings
2024/07/29 4:19:58 PM GMT+5:30,Somewhat effective,Waste management,Moderately well,Lack of expertise,Bi-annually,Moderately,Satisfied,Well,Energy-efficient IT infrastructure,Somewhat effective,Somewhat important,Regulatory compliance
2024/07/29 4:20:20 PM GMT+5:30,Not very effective,Carbon footprint reduction,Not at all,Regulatory compliance,Every few years,Not at all,Unsatisfied,Not communicated at all,Sustainable supply chain management,Not effective at all,Not important at all,Corporate social responsibility
2024/07/29 4:20:40 PM GMT+5:30,Not very effective,Water conservation,Very well,Resistance to change,Never,Moderately,Unsatisfied,Not communicated at all,Eco-friendly product design,Not very effective,Somewhat important,Competitive advantage
2024/07/29 4:20:54 PM GMT+5:30,Very effective,Water conservation,Moderately well,Lack of expertise,Bi-annually,Not at all,Very unsatisfied,Very well,Sustainable supply chain management,Somewhat effective,Not very important,Cost savings
2024/07/29 4:20:55 PM GMT+5:30,Very effective,Carbon footprint reduction,Not at all,,Bi-annually,,Very satisfied,,Renewable energy systems,,Somewhat important,Competitive advantage
2024/07/29 4:21:26 PM GMT+5:30,Not very effective,Water conservation,Poorly,Resistance to change,Every few years,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Somewhat effective,Very important,Cost savings
2024/07/29 4:21:47 PM GMT+5:30,Very effective,Energy efficiency,Moderately well,Cost,Annually,Moderately,Satisfied,Well,Renewable energy systems,Somewhat effective,Very important,Regulatory compliance
2024/07/29 4:21:47 PM GMT+5:30,Somewhat effective,Water conservation,Moderately well,Lack of expertise,Bi-annually,Minimally,Satisfied,Well,Eco-friendly product design,Somewhat effective,Very important,Cost savings
2024/07/29 4:22:06 PM GMT+5:30,Somewhat effective,Water conservation,Moderately well,Resistance to change,Bi-annually,Minimally,Very satisfied,Very well,Sustainable supply chain management,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:28:12 PM GMT+5:30,Very effective,Waste management,,,,,,,,,,
2024/07/29 4:29:30 PM GMT+5:30,Not very effective,Water conservation,Moderately well,Cost,Every few years,Not at all,,Well,Energy-efficient IT infrastructure,Not effective at all,Somewhat important,Regulatory compliance
2024/07/29 4:30:30 PM GMT+5:30,Not very effective,Waste management,Moderately well,Resistance to change,Bi-annually,Minimally,Unsatisfied,Well,Renewable energy systems,Very effective,Not very important,Regulatory compliance
2024/07/29 4:31:53 PM GMT+5:30,Somewhat effective,Carbon footprint reduction,Very well,Regulatory compliance,Every few years,Not at all,Unsatisfied,Poorly,Renewable energy systems,Not effective at all,Not important at all,Corporate social responsibility
2024/07/29 4:32:22 PM GMT+5:30,Not effective at all,Energy efficiency,Not at all,Lack of expertise,Bi-annually,Moderately,Very unsatisfied,Not communicated at all,Sustainable supply chain management,Not very effective,,Corporate social responsibility
2024/07/29 4:32:24 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:26 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:28 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:29 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
